id,state,name,address_line1,address_line2,city,district,pin_code
19216,Madhya Pradesh,"Soni College of Management and Technology, Chhindwara","KHUNAJHIR KALA, NAGPUR ROAD",NEAR LINGA,CHHINDWARA,Chhindwara,480001
34824,Madhya Pradesh,SARDAR GYAN SINGH MEMORIAL EDUCATION COLLEGE BADAGAON MORAR,BADAGOAN,MORAR,GWALIOR,Gwalior,474006
31741,Madhya Pradesh,"Shanti Niketan College, Akodiya Mandi",Vaidya gali,Ward 12,Akodia mandi,Shajapur,465223
47274,Madhya Pradesh,Padma College of Education Jhabua,BADKUA,HOUSING BOARD COLONY,JHABUA,Jhabua,457661
50211,Madhya Pradesh,"GOVERNMENT ARTS AND COMMERCE COLLEGE, BARELA",BARELA,BARELA,JABALPUR,Jabalpur,482001
34924,Madhya Pradesh,GOVT.ARUVEDIK COLLEGE,"Amkho, Gwalior",NA,Gwalior,Gwalior,474009
29692,Madhya Pradesh,"Govt. Degree College, Sanwer",INDORE UJJAIN BYPASS SANWER,NEAR KRASHI UPAJ MANDI SANWER,SANWER,Indore,453551
19233,Madhya Pradesh,"Govt. Degree College, Damua",AT- DAMUA NEAR PETROL PUMP,POST - DAMUA,DAMUA,Chhindwara,480555
29824,Madhya Pradesh,"P.M.B. Gujarati Science College, Nasia Road, Indore","01,NASIA ROAD",NA,INDORE,Indore,452001
29713,Madhya Pradesh,"Govt. College, Kasrawad","Indore road, near to arihant colony, kasrawad dist khargone m.p.",Govt. college kasrawad,kasrawad,Khargone,451228
33418,Madhya Pradesh,"Govt. Degree College, Panagar, Jabalpur","Behind Tahsil Office, Footatal Panagar",Jabalpur,Jabalpur,Jabalpur,483220
47382,Madhya Pradesh,"Govt. College, Burhanpur","Indrajit Nagar 1st Floor Upkar Kour Highschool, lalbag Burhanpur","Indrajit Nagar 1st Floor Upkar Kour Highschool, lalbag Burhanpur",Burhanpur,Burhanpur,450331
47948,Madhya Pradesh,"SRI AUROBINDO INSTITUTE OF ALLIED HEALTH & PARAMEDICAL SCIENCES, INDORE","Indore-Ujjain State Highway, Near MR-10 Crossing","Gram - Bhanwarasla, Teh. Sanwer, Indore (MP)",Indore,Indore,453555
29706,Madhya Pradesh,"Christian Eminent Academy of Management, Professional Education and Research, MIG Colony,Indore","F SECTOR, HIG MAIN ROAD",RAVI SHANKAR SHUKLA NAGAR,INDORE,Indore,452011
33472,Madhya Pradesh,"Shramdham Arts & Commerce College, Kymore",Kymore 483880,Kymore 483880,Kymore,Katni,483880
36197,Madhya Pradesh,"Shreejee Institute of Technology and Management , Khandwa Road, , Khargone",near gayatri mandir khandwa road Khargne(M.P.),NA,Khargone,Hoshangabad,451001
31720,Madhya Pradesh,"Govt.Girls college,ujjain",Dashhara Maidan,Ujjain,Ujjain,Ujjain,456010
29744,Madhya Pradesh,"Shri Gujarati Samaj B.Ed. College, Indore","1, NASIA ROAD",NEAR SARVATE BUS STAND AND RAILWAY STATION,INDORE,Indore,452001
34927,Madhya Pradesh,MAHARANA PRATAP COLLEGE OF ALLIED SCIENCE,"PUTLIGHAR ROAD,",NEAR JIWAJI UNIVERSITY,GWALIOR,Gwalior,474006
29703,Madhya Pradesh,"Govt. Girls College, Barwani",Dashahara Maidan,Bandhan Road,Barwani,Barwani,451551
19126,Madhya Pradesh,"Govt. Girls College, Chhindwara",FAWARA CHOWK CHHINDWARA,FAWARA CHOWK CHHINDWARA,CHHINDWARA,Chhindwara,480001
